Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
rolling_1260_2016-12-08,176.3658233105197,97.37505609530774,78.99076721521195,22.48441779628041,0.8836693739917939,-45.39739723744651,-1,27.6984126984127,7.0,1260
rolling_1260_2017-03-13,102.75861302849813,92.1016289340306,10.656984094467536,14.875833269372851,0.6808654866846331,-45.397397237446505,-1,22.6984126984127,7.0,1260
rolling_1260_2017-06-12,108.42543194720275,104.12711164380268,4.298320303400072,15.596449541842006,0.7164956703314006,-45.397397237446505,-1,20.634920634920633,6.0,1260
rolling_1260_2017-09-11,95.81980020474843,91.78144358404039,4.038356620708039,14.260632915784077,0.6684994034635514,-45.39739723744647,490,20.634920634920633,6.0,1260
rolling_1260_2017-12-08,105.14482114338657,106.21387687604238,-1.0690557326558103,15.270895871682466,0.7120984732316122,-45.39739723744643,490,19.603174603174605,5.0,1260
rolling_1260_2018-03-13,81.43372271351122,96.18966421295406,-14.755941499442837,12.726571032142742,0.636052628812731,-45.397397237446505,490,14.603174603174605,5.0,1260
rolling_1260_2018-06-12,85.22925399713928,88.73904506354222,-3.5097910664029452,13.299151169478684,0.6675701384533429,-45.3973972374464,490,12.53968253968254,4.0,1260
rolling_1260_2018-09-11,85.23807394525338,88.74803213523212,-3.5099581899787458,13.053592169123029,0.6694029198143475,-45.39739723744648,490,12.53968253968254,4.0,1260
rolling_1260_2018-12-11,32.949586378773034,60.35894059499596,-27.409354216222926,5.931583327439771,0.35408126252551286,-45.39739723744648,490,14.285714285714285,5.0,1260
rolling_1260_2019-03-14,52.98432399960489,65.53230711496691,-12.547983115362026,9.114074743866475,0.4355490921079023,-48.73970832344799,-1,19.28571428571429,5.0,1260
rolling_1260_2019-06-13,54.698338972910435,63.72415652510512,-9.025817552194692,9.277370427787645,0.4386921009640614,-48.73970832344804,87,22.53968253968254,6.0,1260
rolling_1260_2019-09-12,56.770862067640614,65.91760021568605,-9.14673814804543,9.384724724892157,0.4468102729996431,-48.739708323448006,87,22.53968253968254,6.0,1260
rolling_1260_2019-12-11,34.54033329206023,67.84727593396278,-33.30694264190255,7.169019025606338,0.34791628688593784,-48.739708323447985,87,19.841269841269842,5.0,1260
rolling_1260_2020-03-13,-7.621574249921704,44.840389157089724,-52.461963407011424,-1.451789524328595,0.15236831199481593,-53.725680047532954,-1,20.238095238095237,5.0,1260
rolling_1260_2020-06-12,34.31344175373559,59.40086247476255,-25.087420721026966,6.231049930372667,0.37217064317920806,-63.28862995478231,82,25.238095238095237,5.0,1260
rolling_1260_2020-09-11,138.87824037565153,89.07029986193493,49.807940513716595,18.916574957735975,0.6055043517132759,-63.28862995478233,82,29.841269841269842,6.0,1260
